id;nom;catégorie;description;résumé;image;
14;Boîte 9 Épices Le Monde en Tube;Epicerie Fine;"Avec ces coffrets en bois contenant 9 épices, vous pourrez assaisonner, relever et déguster des plats inédits. Vous aurez ainsi le choix parmi trois coffrets, renfermant chacun des épices et des recettes différentes, qui vous feront voyager vers d'autres cultures et d'autres cuisines, pour encore plus de dépaysement. Le plus de ces sélections : les épices sont garanties 100% naturelles, elles ne reçoivent aucun traitement, ni ajout de colorant. De quoi se régaler en toute confiance !
 
Contient :

1 boîte en bois Modèle l'Essentiel teintée Wengé. Dimensions : 26,3 x 19,7 x 4,7 cm
9 sachets d'épices dont : coriandre, basilic, muscade, cannelle moulue, curry, thym, herbes de Provence, cumin grain, piment doux. Épices 100% naturelles. 
1 lexique avec des conseils et des recettes dont : travers de porc aux graines de cumin, crumble pomme noisettes, gaspacho etc... 
Offrez en connaisseur :
Voici de quoi ravir tous les cuisinier(e)s, amateur(e)s ou confirmé(e)s. Ils ou elles pourront ainsi s'amuser à tester de nouvelles saveurs afin de relever le goût de leurs plats. Dans ce coffret très complet, ils trouveront de quoi laisser libre cours à leur inspiration...";Découvrez ces belles boîtes contenant 9 épices naturelles, qui vous permettront de confectionner des recettes aux saveurs audacieuses..;http://media1.cadeau-maestro.com/1833-7283-large_default/boite-9-epices-le-monde-en-tube.jpg;
15;Coffret Mini-Tablettes Chocolat;Epicerie Fine;"Dans cette boite joliment rétro se cache un trésor de chocolat : pas moins de 18 mini-tablettes (chocolat au lait et noir) à dévorer sans attendre ! Vous pourrez ainsi savourer celles-ci durant une pause thé ou café, un goûter, une fin de repas ou même sans occasion particulière, juste pour le plaisir. Leur boite en métal, pratique et pleine de charme permettra de conserver les tablettes à l'abri, et de les cacher de tous ceux qui pourraient bien vous les chiper ! 
 
Contient :
1 boite de rangement en métal, avec ouverture sur le dessous ou sur le devant. Dimensions : 14,5 x 14,5 x 12,5 cm
9 mini-tablettes chocolat noir, emballées individuellement. Poids : 13,5 g. Ingrédients : masse de cacao, sucre, beurre de cacao, arôme naturelle de vanille, émulsifiant : lécithine de soja. Peut contenir des traces d'arachide, fruits à coque, gluten, œufs et lait. Dimensions : 3,5 x 6,5 x 0,5 cm
9 mini-tablettes chocolat au lait, emballées individuellement. Poids : 13,5 g. Ingrédients : sucre, beurre de cacao, lait entier en poudre, masse de cacao, arôme naturel de vanille, émulsifiant : lécithine de soja. Peut contenir des traces d'arachide, fruits à coque, gluten, œufs et lait. Dimensions : 3,5 x 6,5 x 0,5 cm
 
Offrez en Connaisseur :
Si vous aimez gâtez vos proches en leur offrant de quoi satisfaire leur appétit pour le bon chocolat, cette boite d'inspiration rétro sera le cadeau parfait. Et même une fois les chocolats dévorés, vous pourrez la conserver en tant que boite à gâteaux ou à bonbons !";Découvrez ce ravissant coffret mini-tablettes chocolat présentées dans leur boite en métal rétro à souhait et qui vous permettront de partager de délicieuses pauses gourmandes...;http://media2.cadeau-maestro.com/3485-18939-large_default/coffret-mini-tablettes-chocolat.jpg;
16;Lampe à Poser en Papier Modèle Branches;Maison;"Légère et délicate, cette lampe en papier, à poser, vous invitera à la sérénité. Ses motifs sont réalisés à la main, sur du papier 100% recyclé. Ils représentant des feuilles et branchages. Simple et gracieuse, cette lampe se branche sur secteur et vous offrira une lumière douce et chaude. Un cadeau parfait pour tous les amateurs d'objets bien conçus et bien pensés !  
 
Contient :
1 lampe motif Branches, en papier 100 % recyclé et fait à la main. Couleurs : noir et beige. Livrée avec ces trois pieds en métal et embouts de protection en silicone. Branchement sur secteur grâce à un cordon de longueur 2,40 mètres et son interrupteur. Fonctionne avec une ampoule E41 petite douille à incandescence 40 watts max. ou fluocompacte 10-14 watts max. (ampoule non fournie). Dimensions totales : 51 x 27 cm
1 notice de montage anglais/français
 
Offrez en Connaisseur :
Avec cette lampe à la douce lumière vous pourrez apporter un petit éclairage d'appoint à votre chambre ou votre salon. Son papier, fait à la main, et issu du recyclage favorise donc l'environnement. Pour chaque achat de lampe, l'entreprise Blue Q, qui se spécialise dans la production d'objets éco-conçus, reverse 1 % de son prix au ""Conservatoire de la Nature"", qui protège les écosystèmes.
En achetant ce bel objet de décoration, vous faites, vous aussi, un geste envers la nature... ";Une lampe en papier recyclé fait main, qui vous offrira un éclairage doux et chaleureux, et qui apportera un soupçon de zen attitude dans votre intérieur...;http://media1.cadeau-maestro.com/2528-11309-large_default/lampe-a-poser-en-papier-modele-branches.jpg;
17;Brosse Micro pour Toilettes;Maison;"Si vous aimez les accessoires fun, cette brosse micro pour toilettes est faite pour vous. Il s'agit d'une brosse pour toilettes noire, mais qui cache un micro à la place de son manche. Petit détail en plus, le bouton ON/OFF qui existe sur les vrais micros est ici reproduit, pour encore plus de réalisme. Un objet qui plaira donc à tous les mélomanes, musiciens et autres amateurs de karaoké ! Si vous ne pouvez-vous empêcher d'écouter de la musique tout au long de la journée alors cette brosse micro pour WC est pour vous.
Deux couleurs au choix : noir ou blanc
 
Contient :
1 brosse micro pour toillettes (factice), en plastique. Deux couleurs au choix : noir ou blanc. Dimensions : 45 cm x 12 cm
 
Offrez en Connaisseur :
Voici un cadeau iconoclaste et décalé qui plaira à tous les amoureux de chanson. Ils pourront ainsi ajouter un élément de déco qui correspond à leur passion. Ils n'auront ainsi plus honte de pousser la chansonnette dans les toilettes.";Avec cette brosse micro pour toilettes, vous pourrez mettre de l'ambiance dans vos wc..;http://media3.cadeau-maestro.com/1805-10386-large_default/brosse-micro-pour-toilettes.jpg;
18;Coussin Traversin The Fruits;Maison;"Les coussins traversins de la marque The Fruits sont une collection de quatre petits traversins différents reprenant les couleurs fraîches et vives de fruits : le kiwi, l'orange, le citron et la pastèque. Chaque coussin/raversin The Fruits allongé est composé d'une housse très douce de 50 cm de long avec fermeture éclair et d'un coussin interne. Une face du coussin est lisse avec le motif d'une tranche de fruit.
 
Contient :
1 housse allongée 50 cm motif de fruit au choix parmi citron, pastèque, orange et kiwi. Face lisse avec motif de la tranche du fruit choisi. Fermeture éclair. Lavage à sec.
1 coussin moelleux largeur 13 cm
1 housse de protection The Fruit protégeant le coussin et permettant de le transporter
 
Offrez en Connaisseur :
Cette collection de traversins est fraîche et moderne. Ils sont parfaits sur le canapé, pour se relaxer et donner une touche de couleur à votre intérieur !";Une collection de quatre coussins traversins The Fruits allongés au design de fruit très colorés et très doux, avec housse interchangeable;http://media1.cadeau-maestro.com/438-4476-large_default/coussin-traversin-the-fruits.jpg;
19;Horloge Vinyle;Maison;"Cette horloge vinyle fera le bonheur de tous les amateurs d'objets rétro. Elle fonctionne grâce à une pile LR06 (non fournie). Au centre de l'horloge, vous trouverez une illustration en couleurs, différente sur chaque modèle. Son look très déco, avec ses aiguilles blanches, fera sensation sur votre mur ! Vous apporterez une touche de retro à votre intérieur et revivrez les années folles des années vinyles.
 
Chaque illustration, au centre de l'horloge, est unique. Le modèle vous sera envoyé de façon aléatoire. Vous aurez ainsi une surprise en ouvrant votre colis et l'assurance d'avoir une horloge unique.
 
 Contient :
1 horloge vinyle, noire et couleurs, fonctionnant grâce à une pile LR06 (non fournie). Différents coloris disponibles, envoyés de manière aléatoire. Cadran noir et aiguilles blanches. Encoche pour accrocher au mur. Diamètre 30 cm.
 
Offrez en Connaisseur :
Pour tous les fans de vinyles et de tourne-disques, voici un cadeau vintage et utile qui s'intégrera avec facilité dans une déco rétro et colorée...";Une horloge vinyle qui créera une atmosphère très déco et rétro dans votre intérieur. Avis aux amateurs de beaux objets vintage ! ;http://media3.cadeau-maestro.com/1181-4294-large_default/horloge-vinyle.jpg;
20;Oreiller Musical MP3;Maison;"Avec l'oreiller musical MP3, dormir devient beaucoup plus amusant et sans avoir besoin de casque ! Cet oreiller dispose d'un haut-parleur intégré à l'intérieur du coussin, que l'on ne sent pas au toucher et ne gênant donc pas pour dormir. C'est idéal pour entendre de la musique en s'endormant sans que votre partenaire ou vos voisins ne l'entendent. Il est également utilisé par les insomniaques et les acouphènes pour les aider à s'endormir. 
L'oreiller musical MP3 possède également d'autres vertus, comme l'écoute de livres audio, l'apprentissage d'une langue étrangère, ou la relaxation. Il est également idéal à emporter lors de longs trajets dans la voiture, en train ou en avion de sorte que les autres passagers ne soient pas dérangés. Il nécessite seulement une source de musique, tel que votre lecteur MP3 ou une radio, à brancher dans la fiche stéréo Jack 3,5 mm pour connecter l'oreiller. L'oreiller MP3 n'émet aucun son jusqu'à ce qu'il soit connecté à votre appareil. Il est de taille standard rectangulaire 63 x 39 cm. Vous n'avez plus qu'à mettre le son dans votre oreille musical MP3 et vous laissez bercer afin de passer une bonne nuit.
 
Contient :
1 Oreiller Musical très confortable, fourni avec un câble jack compatible avec n'importe quel lecteur de musique avec une prise casque. Fonctionne sans piles. Extérieur 100% coton. Garnissage en fibres de polyester. Ne passe pas en machine. Longueur du câble : 75 cm. Taille : 63 x 39 cm.

Offrez en Connaisseur :
Avez-vous déjà essayé de dormir avec un casque sur la tête ? Impossible : il tombe constamment dès que vous tournez la tête, et la sensation du casque empêche souvent de dormir. C'est encore pire avec des écouteurs, qui endommagent les oreilles lorsque l'on tourne la tête. Ce coussin musical a tout pour lui, et permettra autant d'écouter de la musique pour s'endormir que d'apprendre en passant des pistes audio type langues étrangères ou révision pour un examen.
Branché sur votre téléphone, il vous permettra également de vous évader des bras de Morphée, dès le matin, avec une sonnerie ou une musique de votre choix, qui sera ainsi doucement diffusée dans l'oreiller, vous offrant ainsi un réveil calme et serein...
Ce coussin se lave à la main délicatement, et se sèche à l'air libre. Non recommandé pour les enfants de moins de 5 ans.";L'oreiller musical MP3 vous permet d'écouter en dormant de la musique sans déranger autour de vous, et surtout sans avoir d'écouteurs coincés dans les oreilles... ;http://media2.cadeau-maestro.com/373-1103-large_default/oreiller-musical-mp3.jpg;
21;Horloge Clap de Cinéma Hub USB;Cinéma;"Adoptez cette horloge Hub USB 4 ports représentant un clap de cinéma et faites souffler un vent de design dans votre intérieur... Pratique et utile, il vous permettra de lire la date et l'heure, mais également la température. Vous pourrez également vous réveiller grâce à lui, et profiter du clap pour éclairer son écran dans le noir. Fonctionnant sur piles (fournies), vous pourrez le poser sur son socle offrant 4 prises USB pour brancher tous vos appareils équipés. Si vous aimez joindre design et high-tech, ce réveil est fait pour vous !
 
Contient :
1 alarme clap de cinéma noir, avec affichage de la date, de l'heure et de la température. Fonction rétro éclairage de l'écran et répétition du réveil grâce au clap. Fonctionnant grâce à 3 piles AG13 (LR44) fournies. Dimensions : 11,3 x 9,8  x 1 cm
1 Hub USB 4 ports 2.0 avec cable USB
1 notice en anglais
 
Offrez en Connaisseur :
Que vous soyez ou non cinéaste ""éclairé"", ce réveil pratique et fonctionnel vous permettra de lire l'heure à tout moment grâce à son écran rétro-éclairé. Il vous suffira de claper et la lumière apparaitra !";Une horloge de bureau très maline, vous permettant de voir l'heure, la date ainsi que la température, combiné à un hub USB, le tout sous la forme d'un clap de cinéma !;http://media1.cadeau-maestro.com/1449-5531-large_default/horloge-clap-de-cinema-hub-usb.jpg;
22;Machine à pop corn;Cinéma;"Avec cette machine à pop-corn, vous pourrez préparer de délicieux grains de maïs soufflés, à savourer chez vous. Très simple à utiliser, il suffit de la remplir de grains de maïs secs, crus et frais puis de les laisser chauffer dans la machine. Pas besoin d'huile, les grains de maïs seront cuits à l'air chaud. Vous pourrez alors placer un récipient sous le bac de versement afin de réceptionner le pop-corn. Il ne vous reste qu'à savourer ce pop corn avec du sel ou du sucre, au choix. De quoi régaler toute la famille, petits et grands inclus...
A partir de 14 ans.

Contient :
1 machine à pop-corn chariot, en plastique, rouge, blanche et noire. Avec une petite coupelle pour doser le mais. Un bouton ON/OFF. Dimensions : 40 x 14,5 cm 
1 câble d'alimentation secteur 220 V, norme européenne.
1 notice d'utilisation, en anglais

Offrez en connaisseur :
Organisez vos propres soirées cinéma à la maison et conviez famille, proches et amis afin de vous régaler devant un bon film, avec du pop-corn fait maison. Une façon originale de resserrer les liens et de passer un bon moment...";Un véritable machine très déco pour fabriquer votre propre popcorn, et le savourer à l'apéritif ou au dessert, en famille ou devant un bon film..;http://media3.cadeau-maestro.com/1483-20694-large_default/machine-a-pop-corn.jpg;
23;Trousse Clap de Cinéma;Cinéma;"Crayons à papier, stylo billes et encre, feutres, surligneurs, colle, cette trousse pourra tout transporter. Ce bel accessoire de bureau permettra, en effet, de ranger tout ce qui est utile à l'élève, au collégien, lycéen ou étudiant, avec un style vraiment très cool. Nul besoin d'être cinéphile averti pour avoir le droit d'utiliser cette trousse. Il vous suffira d'aimer les objets originaux et à forte personnalité, que vous ne verrez pas chez tout le monde ! 
 
Contient :
1 trousse clap de cinéma, noire et blanche. Intérieur : 100% polyester et extérieur : 100% coton. Fermeture par zip. Dimensions : 10 x 20 x 0,5 cm

Offrez en Connaisseur :
Voici un cadeau idéal pour un ado ou pour un étudiant. Il ou elle pourra ainsi glisser tous ses stylos, règle, correcteur et autres petits accessoires dans cette trousse vraiment très fun ! Cette pochette sera également parfaite pour transporter votre maquillage, car sa doublure intérieure en polyester est résistante et se nettoie facilement avec un coup d'éponge... ";Cette jolie trousse clap de cinéma ravira tous les cinéphiles et leur permettra de ranger leurs stylos, crayons et autres petits objets de bureau..;http://media1.cadeau-maestro.com/3925-22076-large_default/trousse-clap-de-cinema.jpg;
24;Paillasson Ticket de Cinéma;Cinéma;"Le paillasson ticket de cinéma imite à la perfection un ticket de cinéma à l'ancienne, en grand format (74cm de long). Un cadeau original aux cinéphiles en tout genre.
 
Contient :
1 paillasson ticket de cinéma 74 cm caoutchouc
 
Offrez en Connaisseur :
Saviez-vous qu'avec plus de 5 300 écrans de cinéma, la France dispose tout de même du quatrième parc mondial derrière la Chine, les États-Unis et l'Inde ?";Ce paillasson en forme de vieux ticket de cinéma est un grand paillasson très réussi et surtout très ressemblant.;http://media1.cadeau-maestro.com/380-1134-large_default/paillasson-ticket-de-cinema.jpg;
25;Bloc-notes Tickets de Cinéma;Cinéma;"N'oubliez plus de noter toutes les petites choses du quotidien, grâce à ces petits tickets autocollants. D'inspiration rétro, ils reproduisent le design des tickets américains des années 50 qui étaient utilisés pour aller au cinéma, au cirque et au spectacle. Disponibles en quatre modèles, comprenant chacun deux couleurs, ils vous séduiront par leur aspect pratique. A utiliser sans attendre pour noter les petits détails importants, ou tout simplement en déco...

Contient :
2 bloc-notes autocollants en forme de ticket, en papier. 20 feuilles sur chaque bloc. Quatre modèles au choix : fushia/vert, bleu/blanc, rose clair/vert et rouge/orange. Différentes inscriptions sur les tickets : ""ticket"", ""keep this coupon"" ou encore ""admit one"". Dimensions de chaque ticket : 6 cm x 2,9 cm
 
Offrez en Connaisseur :
Voici un cadeau qui plaira à tous les amateurs de cinéma. Ils pourront ainsi se replonger avec plaisir au temps des anciennes salles obscures. Du temps où le cinéma fonctionnait avec des projectionnistes, des ouvreuses et ou les films étaient en noir et blanc. Un cadeau parfait et pratique pour leur bureau !";Avec ces tickets de cinéma délicieusement rétro et colorés, ajoutez du fun sur tous vos petits mots...;http://media1.cadeau-maestro.com/1848-14613-large_default/bloc-notes-tickets-de-cinema.jpg;
26;Porte-Clés Casque Audio;Musique;"Le porte-clés Casque Audio DKring est adapté aux jeunes fans de musique, filles ou garçons l'apprécieront.
 
Contient :
1 porte-clés Casque Audio DKring noir, vert ou rose en métal.
 
Offrez en Connaisseur :
Le porte-clés Casque Audio est un petit cadeau insolite et original n'hésitez pas à l'offrir aux jeunes, il ne pourra que leur plaire.";Le porte clés DKring Casque Audio avec 3 couleurs au choix, pour le plus branché de tous les porte-clefs !;http://media3.cadeau-maestro.com/686-2305-large_default/porte-cles-casque-audio.jpg;
27;Coussins Rock;Musique;"Découvrez ces coussins très rock'n roll qui ajouteront de la couleur et un vrai parti pris déco à votre intérieur. Vous trouverez ainsi deux petits coussins en forme de guitare et un troisième en forme de micro, afin de vous entraîner à chanter et à danser sur scène comme le leader d'un vrai groupe de rock. Conçus pour les parents comme pour les enfants, ils deviendront très vite des accessoires cultes de votre maison !
 
Contient :
1 kit de coussins Rock Pillow Band, en coton et polyester. Lavage à la main max. 30°C. Ne pas passer au sèche-linge. Comprenant :
1 guitare électrique rouge. Dimensions : 47 cm x 17 cm
1 guitare électrique jaune. Dimensions : 47 cm x 16 cm
1 micro. Dimensions : 18 cm x 5 cm

Offrez en Connaisseur :
Voici des coussins, qui plairont à tous les amateurs de guitare et de rock, mais aussi à tous ceux qui apprécient d'avoir une déco unique et originale. Ils pourront ainsi joindre l'utile à l'agréable avec ces petits coussins qui rappelleront leur passion...";Avis à tous les rockeurs, grands et petits, voici des coussin guitares et micro, qui ajouteront du fun dans votre salon ou votre chambre...;http://media2.cadeau-maestro.com/2249-10130-large_default/coussins-rock.jpg;
28;Boite de bruitages;Musique;"Cette boite de bruitages ravira tous les amateurs d'objets drôles et insolites. Il s'agit, en effet, d'une vraie ""sound machine"" dont les 16 bruitages sont identifiables grâce à de petites icones. Vous pourrez ainsi animer vos déjeuners et vos soirées, au bureau, entre amis, en famille et ajouter une pincée de fun et d'humour à vos phrases ou à celles de vos invités... Une petite boite pleine de bonne humeur à emmener partout avec soi !
 
Contient :
1 boite à sons, en plastique de couleur rouge. Modèle original. 16 touches correspondantes à 16 bruitages. Fonctionne grâce à 3 piles boutons LR44 (incluses). Dimensions : 10 cm x 6 cm. 
Offrez en Connaisseur :
Vous pourrez ainsi trouver parmi ces bruitages : mauvaise réponse, éclats de rire, applaudissements, tir au pistolet, bris de glace, caisse enregistreuse, roulement de tambour, ressort, bonne idée, sifflement, cri, rot, pet, etc...Vous pouvez nous croire sur parole, chez Cadeau Maestro, nous l'avons essayé et nous l'avons adoré ! Elle a d'ailleurs reçu le prix du ""Gift of the year 2009"" au Royaume-Uni !";Une boite à sons avec plus de 16 sons pré-enregistrés, de l'éclat de rire au roulement de tambour et du cri strident à l'applaudissement...;http://media3.cadeau-maestro.com/1284-4689-large_default/boite-a-sons.jpg;
29;Nanoblock Grand Piano;Musique;"Ce grand piano à queue miniature de la marque japonaise Nanoblock est composé de près de 150 petites briques encastrables de différentes couleurs. A vous de suivre les instructions et de monter ce bel instrument qui pourra pourquoi pas être posé sur un véritable piano à queue.
 
Contient :
1 sachet de Nanoblock pour réaliser un piano à queue, en résine. Instructions de montage dans chaque sachet. Contient environ 150 pièces. A partir de 12 ans. Difficulté: 2/5. Dimensions variables des briques : de 3 à 7 mm de largeur et de 4 à 10 mm de longueur.
 
Offrez en connaisseur :
Voilà l'idée de cadeau idéale pour un(e) pianiste qui a gardé une âme d'enfant. Et si vous souhaitez offrir un vrai piano, voilà une farce toute trouvée : offrir ce mini piano d'abord dans l'emballage du vrai, et offrir le vrai seulement après !";Construisez un piano à queue noir miniature avec près de 150 mini-briques japonaises de la marque Nanoblock, pour les amateurs de petits casse-têtes;http://media2.cadeau-maestro.com/2566-11460-large_default/nanoblock-grand-piano.jpg;
30;Recharge Papier Boîte à Musique A Faire Soi-Même;Musique;"Si vous connaissez déjà la boîte à musique à faire soi-même, qui vous permet de composer vos mélodies, en poinçonnant des partitions, vous serez heureux de découvrir ces recharges qui vous offriront 5 bandes vierges. A vous le plaisir d'imaginer de nouvelles musiques !
 
Contient :
5 feuilles de recharge à utiliser avec la boîte à musique à faire soi-même. En papier. Dimensions : 48 cm x 4,1 cm
 
Offrez en Connaisseur :
Créer, imaginez, lancez-vous et faites confiance à votre originalité. Vous ne risquez rien à tenter de nouveaux accords...";Une recharge de 5 feuilles à utiliser avec la boîte à musique à faire soi-même, pour tous les musiciens et mélomanes...;http://media2.cadeau-maestro.com/2060-8425-large_default/recharge-papier-boite-a-musique-a-faire-soi-meme.jpg;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
